p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
TXNIP 3.58487477098683e-50 11.6959015269196 0.95 0.743 8.99086592563496e-47 0 TXNIP
KLRB1 1.46259084598104e-24 2.77288730608827 0.94 0.713 3.66817784172046e-21 0 KLRB1
C1orf21 5.05183152342957e-24 1.26131449472383 0.833 0.619 1.26699934607614e-20 0 C1orf21
AOAH 2.10921419640933e-23 0.708314359417947 0.74 0.486 5.2899092045946e-20 0 AOAH
YPEL3 2.41495017656804e-20 3.80697280481998 0.952 0.79 6.05669504283264e-17 0 YPEL3
MAPK1 1.65214212838802e-19 1.3122425271187 0.721 0.504 4.14357245799715e-16 0 MAPK1
PTPN4 3.50194445956996e-19 1.61907403647508 0.629 0.385 8.78287670460145e-16 0 PTPN4
CEP78 8.6338478783618e-19 3.2955073444661 0.567 0.335 2.16536904789314e-15 0 CEP78
CHST2 7.60686387705985e-18 0.900061992114636 0.431 0.218 1.90780146036661e-14 0 CHST2
MYO1F 9.1831187426141e-18 0.951385845898648 0.655 0.424 2.30312618064762e-14 0 MYO1F
SELPLG 4.12552310587963e-16 1.39822879114147 0.588 0.356 1.03468119495461e-12 0 SELPLG
MXD4 4.20944871698039e-16 0.626207200992337 0.7 0.507 1.05572973821868e-12 0 MXD4
TTC38 4.60036371578999e-16 1.17206289662586 0.412 0.213 1.15377121992013e-12 0 TTC38
RHOBTB3 7.98918838579476e-16 1.82020748847777 0.281 0.114 2.00368844715733e-12 0 RHOBTB3
SYNE1 4.88905264237489e-14 0.831118762770473 0.733 0.537 1.22617440270762e-10 0 SYNE1
LSP1 5.47163466901709e-14 1.27551647825916 0.96 0.801 1.37228597498949e-10 0 LSP1
SUN2 6.96238126337129e-14 0.680758140595029 0.767 0.596 1.74616522085352e-10 0 SUN2
GIMAP4 1.0869215271741e-13 5.15776494911996 0.81 0.634 2.72599919015263e-10 0 GIMAP4
AKR1C3 1.65806348032583e-13 0.929069768238568 0.369 0.192 4.15842320865719e-10 0 AKR1C3
PTGDR 1.68819363372954e-13 0.963543111457098 0.49 0.302 4.23398963339369e-10 0 PTGDR
FCRL6 2.58603370521267e-13 0.29153713728761 0.281 0.121 6.48577253267339e-10 0 FCRL6
PLEKHF1 3.5887586739226e-13 0.594508864994303 0.557 0.345 9.00060675419788e-10 0 PLEKHF1
YPEL1 3.73511880957204e-13 1.99740054351799 0.51 0.326 9.36767797440667e-10 0 YPEL1
HES6 1.27052225051596e-12 5.58234022397124 0.443 0.265 3.18646980429402e-09 0 HES6
MGAT4A 2.73006464005257e-12 0.798616735272836 0.505 0.322 6.84700211725185e-09 0 MGAT4A
CD247 3.16475517151739e-12 0.512548674168981 0.931 0.812 7.93720597016562e-09 0 CD247
ABHD17A 8.05625238256434e-12 1.0728830464637 0.755 0.593 2.02050809754714e-08 0 ABHD17A
NLRC3 1.11792639858222e-11 1.25667561510876 0.486 0.306 2.80375940764422e-08 0 NLRC3
EVL 2.4747820789773e-11 1.40389283266769 0.724 0.561 6.20675345407507e-08 0 EVL
OSTF1 3.38885380737938e-11 3.13793800191029 0.848 0.697 8.49924534890748e-08 0 OSTF1
BIN2 3.86121326082423e-11 0.706002271019043 0.667 0.513 9.68392285814717e-08 0 BIN2
TRAF3IP3 4.94785781135907e-11 1.01158784956567 0.498 0.324 1.24092273908886e-07 0 TRAF3IP3
GCHFR 7.40924061173416e-11 0.895157710755603 0.495 0.311 1.85823754542293e-07 0 GCHFR
RNF125 7.47304868530165e-11 0.400384282883083 0.486 0.306 1.87424061027365e-07 0 RNF125
USP28 1.12963658636132e-10 0.363978025383449 0.46 0.281 2.83312855859418e-07 0 USP28
GAB3 1.38382493817935e-10 1.83277719468884 0.512 0.333 3.47063294495381e-07 0 GAB3
C5orf56 1.77172088631365e-10 1.38717031722701 0.369 0.207 4.44347598287464e-07 0 C5orf56
