p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CLIC3	4.10417296558515e-62	1.17662681833877	0.972	0.709	5.59029399642353e-58	0	CLIC3
PTMA	6.53785406147044e-42	0.540760640234234	1	0.999	8.90521101712889e-38	0	PTMA
LSP1	1.51649106958521e-39	0.766770567695911	0.974	0.825	2.06561248588201e-35	0	LSP1
PPP1R14B	6.27072191532325e-37	1.38236944707511	0.762	0.506	8.5413503208618e-33	0	PPP1R14B
CTSD	1.14998050114838e-30	0.820159826749792	0.884	0.688	1.56638844061421e-26	0	CTSD
CXCR4	6.48278433069091e-30	0.819939063182996	0.871	0.583	8.83020053683408e-26	0	CXCR4
CEBPD	4.39157894478992e-28	0.839742583132202	0.829	0.544	5.98176968069835e-24	0	CEBPD
TGFB1	6.08866354862971e-28	0.732788736920238	0.917	0.796	8.29336861958853e-24	0	TGFB1
EGR2	1.01398465608056e-26	-5.24993045012043	0.018	0.271	1.38114850004733e-22	0	EGR2
TNFRSF9	3.94388779313492e-25	-5.48607855777917	0.034	0.278	5.37196956302908e-21	0	TNFRSF9
NFKBIA	7.75058702210065e-25	-1.88312777608921	0.481	0.685	1.05570745828033e-20	0	NFKBIA
TRAF1	8.59838847897829e-25	-4.37488874726484	0.031	0.274	1.17118649472163e-20	0	TRAF1
FAM43A	1.21769593776169e-24	1.13487032337137	0.61	0.347	1.6586236368252e-20	0	FAM43A
TYROBP	1.27314335139028e-24	0.532632190001555	0.984	0.863	1.73414855892869e-20	0	TYROBP
CRTAM	4.58740248070709e-24	-5.90779559459682	0.034	0.271	6.24850091897112e-20	0	CRTAM
EIF4EBP1	5.77865049109696e-24	1.20354048858933	0.491	0.236	7.87109983392317e-20	0	EIF4EBP1
PKM	1.20068806292149e-23	-2.28912599464832	0.245	0.501	1.63545721050536e-19	0	PKM
GCHFR	1.21532710439057e-23	1.20795826220739	0.543	0.288	1.6553970488904e-19	0	GCHFR
OCIAD2	1.44800453782477e-22	0.87396631857779	0.711	0.489	1.97232698097113e-18	0	OCIAD2
GNLY	1.16795530195112e-21	-0.632697437703403	0.977	0.957	1.59087191678762e-17	0	GNLY
TMIGD2	1.22548123644464e-21	0.962322373863598	0.584	0.326	1.66922799216124e-17	0	TMIGD2
OSBPL8	2.51726881961641e-21	0.807237560804591	0.786	0.602	3.42877185919951e-17	0	OSBPL8
SLAMF7	3.42712348563307e-21	-1.7565449548022	0.245	0.491	4.6680848997808e-17	0	SLAMF7
PMEPA1	6.81922525449186e-21	0.914751644820452	0.649	0.408	9.28846671914336e-17	0	PMEPA1
HES6	1.30195663239218e-20	1.40543796931657	0.496	0.277	1.77339512898138e-16	0	HES6
HSP90AB1	2.74647245603807e-20	-1.45611543117116	0.68	0.805	3.74097013236946e-16	0	HSP90AB1
YPEL3	6.0677793357122e-20	0.537848444790674	0.956	0.797	8.26492223317359e-16	0	YPEL3
EMP3	1.35719455979282e-19	-0.780008750657135	0.757	0.856	1.8486347098938e-15	0	EMP3
CXCR3	1.38352091245089e-19	0.825418722484783	0.677	0.448	1.88449383484936e-15	0	CXCR3
PLAAT4	4.06263058727861e-19	0.550462993817076	0.933	0.767	5.53370912293219e-15	0	PLAAT4
CD52	4.74951015368261e-19	-1.10620912499893	0.519	0.701	6.46930778033108e-15	0	CD52
NXPH4	5.05844374447984e-19	1.58831913413149	0.315	0.127	6.89010622435599e-15	0	NXPH4
OSTF1	1.07594771521533e-18	0.586887528650606	0.876	0.713	1.4655483828948e-14	0	OSTF1
CCSER2	1.62373883585178e-17	0.675563026396415	0.796	0.626	2.2116946683137e-13	0	CCSER2
ARHGDIB	3.16665211618365e-17	0.478536970234506	0.948	0.806	4.31329684745374e-13	0	ARHGDIB
DUSP5	7.67283323775659e-17	-5.19722377168729	0.008	0.172	1.04511661531483e-12	0	DUSP5
PIM3	1.92556206260597e-16	-2.65263174444271	0.134	0.331	2.62280808547559e-12	0	PIM3
MAPK1	2.80781525761133e-16	0.738835536360334	0.724	0.515	3.8245251623924e-12	0	MAPK1
NFKB1	3.43524196515108e-16	-1.6039434678855	0.437	0.6	4.67914308073228e-12	0	NFKB1
MXD4	4.97843340906328e-16	0.665971527105385	0.724	0.511	6.78112414648509e-12	0	MXD4
TAGAP	7.53783992634942e-16	-1.79169395297255	0.37	0.553	1.02672917636805e-11	0	TAGAP
