p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
FGFBP2	1.1328407242893e-100	1.69480300210394	0.974	0.651	1.5118892306365e-96	0	FGFBP2
TXNIP	2.1647208696896e-80	1.52470336273491	0.97	0.72	2.88903647268774e-76	0	TXNIP
GZMA	3.05625344698903e-78	1.37196481112171	0.957	0.663	4.07887585035156e-74	0	GZMA
CEBPD	2.97995720546752e-45	1.09382644997308	0.87	0.505	3.97705088641695e-41	0	CEBPD
VIM	3.84128908219004e-43	-1.50902874130798	0.643	0.862	5.12658440909083e-39	0	VIM
GIMAP7	5.23931821893159e-43	0.853941591920548	0.952	0.727	6.9923940949861e-39	0	GIMAP7
NKG7	4.17875537916028e-42	0.516895205471569	1	0.959	5.57696692902732e-38	0	NKG7
TMSB10	4.51536038863896e-42	0.655379203705045	0.998	0.965	6.02619997467755e-38	0	TMSB10
HSP90AB1	6.33036533233433e-41	-1.9903709183413	0.641	0.837	8.4485055725334e-37	0	HSP90AB1
KLRB1	2.21512524418925e-40	0.887315734710692	0.933	0.705	2.95630615089497e-36	0	KLRB1
PLAAT4	5.16035535356921e-38	0.804757921717181	0.946	0.727	6.88701025487347e-34	0	PLAAT4
TMSB4X	5.35367208822344e-37	0.389143449521486	1	1	7.14501076894301e-33	0	TMSB4X
CLIC3	9.36750948163419e-36	0.853762650300099	0.92	0.671	1.2501878154189e-31	0	CLIC3
TNFRSF9	1.00112128511512e-35	-6.16262682221252	0.033	0.325	1.33609646711464e-31	0	TNFRSF9
CHST2	1.01187397180144e-35	1.70302896505941	0.45	0.152	1.35044700276621e-31	0	CHST2
CRTAM	2.38952624164889e-35	-6.39539042589446	0.026	0.316	3.18906172210461e-31	0	CRTAM
TYROBP	2.41379356958001e-35	0.631105899671558	0.996	0.83	3.22144889796148e-31	0	TYROBP
FCGR3A	3.23000453558657e-35	0.751231700947902	0.941	0.654	4.31076405319384e-31	0	FCGR3A
KLF2	3.24045641655783e-35	1.36434971597558	0.661	0.34	4.32471313353808e-31	0	KLF2
XCL1	5.29019029665283e-35	-4.80455071146706	0.111	0.419	7.06028796991287e-31	0	XCL1
YPEL3	5.79423319262323e-34	0.704449278666324	0.952	0.782	7.73298361887496e-30	0	YPEL3
TRAF1	2.4642339185961e-33	-4.81313338914583	0.033	0.312	3.28876658775835e-29	0	TRAF1
EGR2	3.60703703396369e-32	-5.15301684026344	0.03	0.299	4.81395162552794e-28	0	EGR2
TMIGD2	1.80044398068768e-31	1.24236011931825	0.598	0.284	2.40287253662577e-27	0	TMIGD2
C1orf21	2.00398457347479e-30	0.88804113748967	0.833	0.592	2.67451781175945e-26	0	C1orf21
ITGB2	1.53621273860247e-29	0.928553166664333	0.824	0.634	2.05022952093885e-25	0	ITGB2
NFKB1	2.25493682637561e-28	-2.02982075535022	0.417	0.634	3.00943868848089e-24	0	NFKB1
XCL2	2.74134100266321e-28	-4.12858743930956	0.265	0.52	3.65859370215432e-24	0	XCL2
SLFN5	6.86799689570192e-28	0.653433629685253	0.943	0.761	9.16602865700378e-24	0	SLFN5
PLAC8	1.44878093506383e-27	0.940338873134238	0.735	0.47	1.93354303593619e-23	0	PLAC8
PIM3	3.81619161246961e-27	-3.41427592719307	0.102	0.358	5.09308932600195e-23	0	PIM3
LSP1	6.02313129873787e-27	0.599212650004477	0.965	0.799	8.03847103129557e-23	0	LSP1
CD82	2.33669895520589e-26	-2.39604877476179	0.161	0.426	3.11855842561778e-22	0	CD82
DUSP2	4.31407881374064e-26	-2.50364010674936	0.241	0.496	5.75756958481826e-22	0	DUSP2
KDM6B	5.27899747394978e-26	-2.58342826001308	0.189	0.437	7.04535002873337e-22	0	KDM6B
EIF4A1	1.24601585763621e-25	-1.07683466671808	0.628	0.8	1.66293276360129e-21	0	EIF4A1
TNFRSF18	1.40957908108847e-25	-2.04792773854594	0.298	0.535	1.88122424162068e-21	0	TNFRSF18
RGS16	1.64271024258318e-25	-4.47949260188127	0.067	0.304	2.19236108975151e-21	0	RGS16
BACH2	2.60161264704779e-25	-2.3137165962385	0.1	0.358	3.47211223874999e-21	0	BACH2
RPS2	2.94079449617444e-25	-0.579244747665291	0.993	0.999	3.9247843345944e-21	0	RPS2
EEF1B2	9.80497537683095e-25	-0.824361713632196	0.802	0.904	1.30857201379186e-20	0	EEF1B2
PKM	1.65944704543608e-23	-2.35981803122683	0.309	0.529	2.21469802683899e-19	0	PKM
PLEKHF1	1.88041428472253e-23	1.07139838052697	0.537	0.272	2.50960090439069e-19	0	PLEKHF1
RPS19	2.47601865749125e-23	-0.391180662009088	1	1	3.30449450028782e-19	0	RPS19
CD44	7.68527002783782e-23	-0.92983321751964	0.628	0.815	1.02567613791524e-18	0	CD44
RPS12	8.1114206101305e-23	-0.492928078364423	1	0.999	1.08255019462802e-18	0	RPS12
RNF213	1.09973860354768e-22	0.620891401809759	0.922	0.747	1.46771114029473e-18	0	RNF213
ARHGDIB	1.15085444953122e-22	0.597898333485028	0.92	0.766	1.53593034834436e-18	0	ARHGDIB
AOAH	1.72380358367337e-22	0.933713762933753	0.674	0.438	2.30058826277049e-18	0	AOAH
GAPDH	2.08150571139042e-22	-1.0999783170135	0.87	0.914	2.77797752242165e-18	0	GAPDH
TTC38	2.22224412351597e-22	1.42435810303735	0.42	0.187	2.96580700724441e-18	0	TTC38
IL7R	2.32915415183197e-22	-6.5906800163549	0.004	0.19	3.10848913103494e-18	0	IL7R
RPLP0	3.25552023104244e-22	-0.877614375217403	0.746	0.884	4.34481730034924e-18	0	RPLP0
GIMAP4	3.58449118455443e-22	0.720294479828405	0.837	0.619	4.78386193490634e-18	0	GIMAP4
CD247	4.20761631997076e-22	0.623069073947883	0.92	0.782	5.61548474063298e-18	0	CD247
CTSD	4.31809080524232e-22	0.7115402529839	0.841	0.647	5.7629239886764e-18	0	CTSD
ARPC2	6.29445088582959e-22	0.419014567051227	0.974	0.966	8.40057415222817e-18	0	ARPC2
CD69	1.04827750532546e-21	-2.01702632958986	0.32	0.545	1.39903115860736e-17	0	CD69
FYB1	1.07271594066474e-21	0.875061670008883	0.715	0.473	1.43164669441116e-17	0	FYB1
CST7	2.13145779927159e-21	0.477444411822264	0.963	0.856	2.84464357890787e-17	0	CST7
JUND	3.2051478937682e-21	-1.40481429136422	0.372	0.59	4.27759037902304e-17	0	JUND
MYO1F	1.30134820954715e-20	0.934424235829224	0.613	0.383	1.73677932046162e-16	0	MYO1F
NPM1	1.38588364866174e-20	-0.85538029325899	0.761	0.865	1.84960031750395e-16	0	NPM1
PTGDR	1.83142568741174e-20	1.0633092106041	0.504	0.263	2.44422072241971e-16	0	PTGDR
NME2	2.73984745243176e-20	-1.34401970482777	0.42	0.613	3.65660041001542e-16	0	NME2
PRDX1	3.81105377356584e-20	-1.77114944156939	0.187	0.418	5.08623236620098e-16	0	PRDX1
MIR155HG	4.85277475287396e-20	-5.17510427652151	0.026	0.208	6.47651318518559e-16	0	MIR155HG
MXD4	5.25803545332142e-20	0.791369854609046	0.7	0.463	7.01737411600277e-16	0	MXD4
EFHD2	1.9413806215251e-19	0.48456343375383	0.967	0.863	2.59096657748739e-15	0	EFHD2
NAB2	2.06425831504024e-19	-3.57656108949672	0.024	0.202	2.75495914725271e-15	0	NAB2
BCL11B	2.10590120088166e-19	0.738841889209421	0.698	0.442	2.81053574269666e-15	0	BCL11B
TPT1	7.90227718171512e-19	-0.333373428737597	1	1	1.0546379126717e-14	0	TPT1
PTPN4	8.05864383442694e-19	0.934171181698952	0.596	0.362	1.07550660614262e-14	0	PTPN4
RSL1D1	1.01339506339378e-18	-1.3461252151205	0.248	0.471	1.35247705160533e-14	0	RSL1D1
CD83	3.06951635324426e-18	-4.29370997970731	0.048	0.229	4.09657652503979e-14	0	CD83
CX3CR1	3.61978589638329e-18	0.967074498981475	0.507	0.276	4.83096625731314e-14	0	CX3CR1
OSTF1	5.32805784523652e-18	0.564950480090186	0.85	0.68	7.11082600025266e-14	0	OSTF1
PHLDA1	5.81094646660922e-18	-3.46214759745604	0.037	0.211	7.75528915433667e-14	0	PHLDA1
KLRF1	8.34357600958403e-18	0.615544408796833	0.82	0.622	1.11353365423908e-13	0	KLRF1
EEF1A1	8.53026603559707e-18	-0.406873226284551	0.98	0.986	1.13844930511078e-13	0	EEF1A1
IRF4	9.81686979007707e-18	-6.36986329102567	0.002	0.149	1.31015944218369e-13	0	IRF4
RPS5	1.3205614303487e-17	-0.515134321534659	0.957	0.969	1.76242128494338e-13	0	RPS5
ADRB2	1.58536935247267e-17	0.986221836639334	0.454	0.237	2.11583393781002e-13	0	ADRB2
GADD45B	1.81053829265479e-17	-1.92339616343478	0.498	0.653	2.41634440537708e-13	0	GADD45B
SLC9A3R1	2.23516258195822e-17	0.704091032367187	0.741	0.544	2.98304798188143e-13	0	SLC9A3R1
IRF8	2.83186844809228e-17	-3.35316371811312	0.035	0.202	3.77941163082396e-13	0	IRF8
RPS9	3.70060227775366e-17	-0.553584743860665	0.935	0.969	4.93882379989003e-13	0	RPS9
FCRL6	4.05387769835236e-17	1.44902129672645	0.267	0.097	5.41030517622106e-13	0	FCRL6
MYC	4.32576614465732e-17	-4.9466398349796	0.013	0.164	5.77316749665966e-13	0	MYC
TNFSF14	4.6219259400204e-17	-1.6650857432173	0.333	0.529	6.16842235955123e-13	0	TNFSF14
RPL36A	4.99400745212801e-17	-0.668145543760207	0.807	0.896	6.66500234561005e-13	0	RPL36A
RHOBTB3	5.53708096982497e-17	1.51613154180918	0.27	0.1	7.38978826232841e-13	0	RHOBTB3
CHST12	6.00958698940588e-17	0.5560326929092	0.857	0.694	8.02039479606109e-13	0	CHST12
PRF1	9.1662335115709e-17	0.389301655436431	0.957	0.823	1.22332552445425e-12	0	PRF1
MYBL1	9.43261398145274e-17	1.17375118659658	0.396	0.194	1.25887666196468e-12	0	MYBL1
NAP1L1	1.03382658746313e-16	-0.828406537420065	0.476	0.674	1.3797449636283e-12	0	NAP1L1
TNFRSF4	1.49074752464229e-16	-3.21315842346092	0.05	0.221	1.98955164638761e-12	0	TNFRSF4
ANXA5	1.54913677895526e-16	-2.01749733773845	0.111	0.304	2.06747794519369e-12	0	ANXA5
CD3D	1.71481733261188e-16	-3.55766634194794	0.028	0.186	2.28859521210382e-12	0	CD3D
GAB3	2.59788786805125e-16	0.931303965481877	0.5	0.295	3.4671411487012e-12	0	GAB3
RPL9	2.8838795479072e-16	-0.419199590649894	0.987	0.996	3.84882564463694e-12	0	RPL9
ARL4C	3.81354919484195e-16	0.506583770934809	0.9	0.742	5.08956275543607e-12	0	ARL4C
RPLP1	4.26929171014841e-16	-0.346243960543464	1	1	5.69779671636407e-12	0	RPLP1
IER2	5.1241687327443e-16	-0.937892015186852	0.689	0.819	6.83871559072054e-12	0	IER2
GLIPR1	5.69587955165336e-16	0.678510471539318	0.67	0.455	7.60172084963658e-12	0	GLIPR1
RELB	6.10050910696232e-16	-1.42573685764988	0.193	0.391	8.14173945415191e-12	0	RELB
IL2RA	6.63638548703653e-16	-8.14945132310488	0	0.13	8.85692007099895e-12	0	IL2RA
HSPE1	6.71190271646629e-16	-1.43874022226042	0.224	0.429	8.95770536539592e-12	0	HSPE1
PARK7	6.99628068942637e-16	-0.928295740368498	0.646	0.754	9.33723620810843e-12	0	PARK7
JUNB	8.51326085474827e-16	-1.17560582399159	0.437	0.624	1.1361797936747e-11	0	JUNB
RNF19A	1.03781017114092e-15	-1.26050679872018	0.365	0.553	1.38506145440467e-11	0	RNF19A
SELPLG	1.12966158438747e-15	0.734462043406572	0.574	0.345	1.50764635052352e-11	0	SELPLG
DDX21	1.33764095827743e-15	-1.66222899626414	0.261	0.45	1.78521562291706e-11	0	DDX21
LBH	2.42610846578743e-15	1.00565322663448	0.443	0.244	3.23788435843991e-11	0	LBH
BIRC3	2.57880468390914e-15	-2.12179010826018	0.137	0.321	3.44167273114514e-11	0	BIRC3
RAN	2.5832686483204e-15	-0.786095802060055	0.576	0.736	3.4476303380484e-11	0	RAN
TMEM123	3.83042026359233e-15	-0.873126881900242	0.415	0.605	5.11207888379032e-11	0	TMEM123
MFSD2A	4.12283811879594e-15	-6.04368893589819	0.002	0.128	5.50233975334506e-11	0	MFSD2A
SUN2	4.2005581871884e-15	0.607285002718343	0.754	0.556	5.60606495662163e-11	0	SUN2
CEP78	4.59472613413669e-15	1.03065835893342	0.509	0.313	6.13212149861883e-11	0	CEP78
GPR183	4.7916967866476e-15	-3.6561641102283	0.017	0.156	6.39499853145988e-11	0	GPR183
HLA-DRB1	6.27380914399481e-15	-4.46303156400237	0.022	0.162	8.37302568357548e-11	0	HLA-DRB1
RPL35	6.48637092341013e-15	-0.368437674976722	0.989	0.987	8.65671063438316e-11	0	RPL35
GZMM	6.91674137687939e-15	0.559315016276257	0.802	0.639	9.23108304158324e-11	0	GZMM
S100A4	7.47209529676846e-15	0.520973192129101	0.793	0.624	9.97225838306718e-11	0	S100A4
